,trade_date,0,close
206,20121109,DR007.IB,3.22
207,20121112,DR007.IB,3.1
208,20121113,DR007.IB,3.16
209,20121114,DR007.IB,3.35
210,20121115,DR007.IB,3.32
211,20121116,DR007.IB,2.9
212,20121119,DR007.IB,3.2
213,20121120,DR007.IB,3.35
214,20121121,DR007.IB,3.2
215,20121122,DR007.IB,3.24
216,20121123,DR007.IB,2.79
217,20121126,DR007.IB,2.88
218,20121127,DR007.IB,2.88
219,20121128,DR007.IB,2.5
220,20121129,DR007.IB,3.29
221,20121130,DR007.IB,3.39
222,20121203,DR007.IB,3.4
223,20121204,DR007.IB,2.88
224,20121205,DR007.IB,2.75
225,20121206,DR007.IB,2.94
226,20121207,DR007.IB,3.04
227,20121210,DR007.IB,3.15
228,20121211,DR007.IB,3.004
229,20121212,DR007.IB,3.01
230,20121213,DR007.IB,2.69
231,20121214,DR007.IB,3.0
232,20121217,DR007.IB,3.03
233,20121218,DR007.IB,3.01
234,20121219,DR007.IB,3.15
235,20121220,DR007.IB,3.48
236,20121221,DR007.IB,3.4194
237,20121224,DR007.IB,3.16
238,20121225,DR007.IB,2.3
239,20121226,DR007.IB,3.9
240,20121227,DR007.IB,4.0
241,20121228,DR007.IB,4.3
242,20121231,DR007.IB,4.58
243,20130104,DR007.IB,4.05
244,20130107,DR007.IB,3.18
245,20130108,DR007.IB,3.0
246,20130109,DR007.IB,2.99
247,20130110,DR007.IB,2.92
248,20130111,DR007.IB,3.07
249,20130114,DR007.IB,3.15
250,20130115,DR007.IB,2.71
251,20130116,DR007.IB,2.7804
252,20130117,DR007.IB,2.75
253,20130118,DR007.IB,2.74
254,20130121,DR007.IB,3.0
255,20130122,DR007.IB,2.98
256,20130123,DR007.IB,2.97
257,20130124,DR007.IB,2.78
258,20130125,DR007.IB,2.7
259,20130128,DR007.IB,3.0
260,20130129,DR007.IB,3.11
261,20130130,DR007.IB,3.2241
262,20130131,DR007.IB,3.24
263,20130201,DR007.IB,3.3321
264,20130204,DR007.IB,3.1
265,20130205,DR007.IB,3.4
266,20130206,DR007.IB,4.0
267,20130207,DR007.IB,4.1
268,20130208,DR007.IB,3.579
269,20130218,DR007.IB,2.78
270,20130219,DR007.IB,2.91
271,20130220,DR007.IB,2.95
272,20130221,DR007.IB,3.0
273,20130222,DR007.IB,3.1
274,20130225,DR007.IB,3.3
275,20130226,DR007.IB,4.1
276,20130227,DR007.IB,4.26
277,20130228,DR007.IB,4.3
278,20130301,DR007.IB,4.43
279,20130304,DR007.IB,4.3
280,20130305,DR007.IB,3.18
281,20130306,DR007.IB,2.99
282,20130307,DR007.IB,2.51
283,20130308,DR007.IB,2.48
284,20130311,DR007.IB,2.99
285,20130312,DR007.IB,3.05
286,20130313,DR007.IB,2.82
287,20130314,DR007.IB,3.1
288,20130315,DR007.IB,2.1
289,20130318,DR007.IB,2.2
290,20130319,DR007.IB,2.97
291,20130320,DR007.IB,3.26
292,20130321,DR007.IB,3.05
293,20130322,DR007.IB,3.0113
294,20130325,DR007.IB,2.92
295,20130326,DR007.IB,3.1
296,20130327,DR007.IB,2.86
297,20130328,DR007.IB,3.18
298,20130329,DR007.IB,3.6
299,20130401,DR007.IB,3.41
300,20130402,DR007.IB,3.45
301,20130403,DR007.IB,3.25
302,20130408,DR007.IB,3.2841
303,20130409,DR007.IB,2.3
304,20130410,DR007.IB,3.22
305,20130411,DR007.IB,2.8
306,20130412,DR007.IB,2.95
307,20130415,DR007.IB,2.96
308,20130416,DR007.IB,3.05
309,20130417,DR007.IB,3.0
310,20130418,DR007.IB,2.31
311,20130419,DR007.IB,3.1
312,20130422,DR007.IB,3.15
313,20130423,DR007.IB,3.64
314,20130424,DR007.IB,4.15
315,20130425,DR007.IB,4.99
316,20130426,DR007.IB,3.8
317,20130502,DR007.IB,2.95
318,20130503,DR007.IB,3.0
319,20130506,DR007.IB,3.21
320,20130507,DR007.IB,3.18
321,20130508,DR007.IB,3.0
322,20130509,DR007.IB,3.11
323,20130510,DR007.IB,3.0
324,20130513,DR007.IB,2.9022
325,20130514,DR007.IB,2.75
326,20130515,DR007.IB,2.77
327,20130516,DR007.IB,3.21
328,20130517,DR007.IB,4.5
329,20130520,DR007.IB,3.0
330,20130521,DR007.IB,4.44
331,20130522,DR007.IB,3.74
332,20130523,DR007.IB,4.2
333,20130524,DR007.IB,4.16
334,20130527,DR007.IB,4.09
335,20130528,DR007.IB,3.5
336,20130529,DR007.IB,3.9
337,20130530,DR007.IB,4.1
338,20130531,DR007.IB,4.78
339,20130603,DR007.IB,4.82
340,20130604,DR007.IB,4.9
341,20130605,DR007.IB,4.9
342,20130606,DR007.IB,5.4
343,20130607,DR007.IB,6.85
344,20130613,DR007.IB,6.38
345,20130614,DR007.IB,6.7
346,20130617,DR007.IB,7.0
347,20130618,DR007.IB,6.82
348,20130619,DR007.IB,8.5
349,20130620,DR007.IB,11.2
350,20130621,DR007.IB,5.5
351,20130624,DR007.IB,7.566
352,20130625,DR007.IB,7.5
353,20130626,DR007.IB,5.8
354,20130627,DR007.IB,6.75
355,20130628,DR007.IB,5.7
356,20130701,DR007.IB,5.45
357,20130702,DR007.IB,4.75
358,20130703,DR007.IB,4.23
359,20130704,DR007.IB,3.95
360,20130705,DR007.IB,3.8
361,20130708,DR007.IB,3.7
362,20130709,DR007.IB,3.6
363,20130710,DR007.IB,3.6
364,20130711,DR007.IB,3.83
365,20130712,DR007.IB,3.81
366,20130715,DR007.IB,3.81
367,20130716,DR007.IB,3.7
368,20130717,DR007.IB,3.56
369,20130718,DR007.IB,3.75
370,20130719,DR007.IB,3.77
371,20130722,DR007.IB,3.8
372,20130723,DR007.IB,4.0
373,20130724,DR007.IB,4.04
374,20130725,DR007.IB,5.4
375,20130726,DR007.IB,4.41
376,20130729,DR007.IB,5.12
377,20130730,DR007.IB,5.0
378,20130731,DR007.IB,4.99
379,20130801,DR007.IB,4.0
380,20130802,DR007.IB,4.33
381,20130805,DR007.IB,4.34
382,20130806,DR007.IB,3.12
383,20130807,DR007.IB,3.89
384,20130808,DR007.IB,3.79
385,20130809,DR007.IB,3.64
386,20130812,DR007.IB,3.68
387,20130813,DR007.IB,3.72
388,20130814,DR007.IB,3.855
389,20130815,DR007.IB,3.99
390,20130816,DR007.IB,3.83
391,20130819,DR007.IB,4.18
392,20130820,DR007.IB,4.47
393,20130821,DR007.IB,4.32
394,20130822,DR007.IB,4.25
395,20130823,DR007.IB,4.18
396,20130826,DR007.IB,2.95
397,20130827,DR007.IB,4.45
398,20130828,DR007.IB,4.29
399,20130829,DR007.IB,4.32
400,20130830,DR007.IB,3.73
401,20130902,DR007.IB,3.75
402,20130903,DR007.IB,3.83
403,20130904,DR007.IB,3.49
404,20130905,DR007.IB,3.47
405,20130906,DR007.IB,3.47
406,20130909,DR007.IB,3.57
407,20130910,DR007.IB,3.63
408,20130911,DR007.IB,3.38
409,20130912,DR007.IB,3.57
410,20130913,DR007.IB,3.59
411,20130916,DR007.IB,3.48
412,20130917,DR007.IB,3.66
413,20130918,DR007.IB,4.15
414,20130923,DR007.IB,4.4
415,20130924,DR007.IB,4.5
416,20130925,DR007.IB,4.03
417,20130926,DR007.IB,4.1
418,20130927,DR007.IB,3.7
419,20130930,DR007.IB,4.25
420,20131008,DR007.IB,4.4
421,20131009,DR007.IB,4.5
422,20131010,DR007.IB,4.69
423,20131011,DR007.IB,4.56
424,20131014,DR007.IB,3.82
425,20131015,DR007.IB,3.86
426,20131016,DR007.IB,3.34
427,20131017,DR007.IB,3.46
428,20131018,DR007.IB,3.5
429,20131021,DR007.IB,3.66
430,20131022,DR007.IB,3.45
431,20131023,DR007.IB,4.05
432,20131024,DR007.IB,4.789
433,20131025,DR007.IB,5.21
434,20131028,DR007.IB,5.6
435,20131029,DR007.IB,5.03
436,20131030,DR007.IB,5.69
437,20131031,DR007.IB,5.05
438,20131101,DR007.IB,4.4
439,20131104,DR007.IB,4.42
440,20131105,DR007.IB,4.24
441,20131106,DR007.IB,3.9
442,20131107,DR007.IB,3.9
443,20131108,DR007.IB,3.95
444,20131111,DR007.IB,3.77
445,20131112,DR007.IB,4.3
446,20131113,DR007.IB,3.74
447,20131114,DR007.IB,4.3
448,20131115,DR007.IB,5.45
449,20131118,DR007.IB,5.94
450,20131119,DR007.IB,4.95
451,20131120,DR007.IB,4.82
452,20131121,DR007.IB,5.4
453,20131122,DR007.IB,5.75
454,20131125,DR007.IB,4.9
455,20131126,DR007.IB,4.76
456,20131127,DR007.IB,4.77
457,20131128,DR007.IB,4.92
458,20131129,DR007.IB,4.72
459,20131202,DR007.IB,4.63
460,20131203,DR007.IB,4.62
461,20131204,DR007.IB,4.58
462,20131205,DR007.IB,4.57
463,20131206,DR007.IB,4.35
464,20131209,DR007.IB,4.5
