日期,沪深300,中证500,国债指数,30年国债,大宗商品,豆粕指数,黄金(申万)
Date,000300.SH,000905.SH,000012.SH,931080.CSI,000979.CSI,MFI.WI,850531.SI
2012/4/23,-0.7919,-1.1988,0.0399,0.0273,-1.9033,1.0612,-0.8318
2012/4/24,-0.045,-0.6821,-0.0015,0.1513,-0.6107,-0.6394,-0.5739
2012/4/25,0.8109,1.4324,0.0143,0.0141,1.2668,0.3992,3.3719
2012/4/26,0.2093,-0.5078,0.0158,0.0066,0.6485,-0.7352,-0.2875
2012/4/27,-0.2025,-0.9565,0.0226,0.0122,-0.8022,1.351,-0.3987
2012/5/2,2.183,1.4632,0.0339,0.2946,3.4005,0.3433,2.9165
2012/5/3,0.2993,0.4184,0.0015,0.0103,0.2277,-0.6296,-0.8838
2012/5/4,0.9051,0.6478,0.0309,0.0599,0.8731,0.9511,0.3068
2012/5/7,0.0699,0.7065,0.0143,-0.1673,0.4356,-1.3064,1.3215
2012/5/8,-0.3187,-0.0286,0.0068,0.0281,-0.0644,-0.4009,-0.8716
2012/5/9,-1.9048,-1.7445,-0.0068,0.0384,-2.4068,-1.4741,-2.8985
2012/5/10,-0.0113,0.3675,0.0128,0.1151,0.4045,0.6138,-0.0348
2012/5/11,-0.7638,-0.422,0.0143,0.3271,-0.6913,-1.0356,-1.571
2012/5/14,-0.8109,-0.1423,0.0271,0.2534,-1.3001,-3.2385,-1.9481
2012/5/15,0.0703,-0.1136,0.0286,0.3391,-0.9018,0.8476,-0.5914
2012/5/16,-1.6324,-1.2297,0.0226,0.4343,-1.3918,-2.5131,-0.2864
2012/5/17,1.5262,1.4718,0.0053,-0.3273,1.7733,2.6746,1.7262
2012/5/18,-1.529,-1.5704,0.0173,0.2923,-1.8321,-0.3945,0.141
2012/5/21,0.515,-0.0632,0.0173,-0.1614,0.8352,0.2145,0.6787
2012/5/22,1.5574,1.5741,0.0195,0.0443,1.435,-0.7545,0.2183
2012/5/23,-0.4056,-0.0576,0.0098,0.0111,-1.1648,-1.8441,-1.7993
2012/5/24,-0.8258,-0.8311,0.0113,0.2881,-0.7748,1.2282,-0.3975
2012/5/25,-0.8537,-1.1576,0.0173,0.4042,-0.9931,-0.4264,-0.1484
2012/5/28,1.6162,1.4287,0.0503,-0.1935,1.2326,0.7052,1.3808
2012/5/29,1.3831,1.5789,0.0113,-0.2012,2.1776,0.7227,1.8736
2012/5/30,-0.3243,0.1746,0.0113,0.0654,-0.5744,-0.4679,-0.4196
2012/5/31,-0.3866,0.0366,0.0098,0.1987,-0.2574,-0.5749,0.1345
2012/6/1,0.0363,-0.2439,-0.003,0.011,-0.0832,-1.107,0.0517
2012/6/4,-2.8094,-3.275,0.0668,0.033,-3.5775,-0.9809,1.4381
2012/6/5,-0.0072,-0.1158,0.0052,-0.0009,-0.6822,1.8031,-1.394
2012/6/6,-0.0563,-0.4824,-0.0112,-0.1643,0.2045,1.0703,4.2168
2012/6/7,-0.595,-0.5285,0.0105,0.011,-0.7064,1.0353,-1.5481
2012/6/8,-0.7023,-0.4741,0.0202,0.2932,-1.0566,0.5164,-2.3925
2012/6/11,1.3444,1.8561,0.0277,-0.2154,1.793,2.2871,1.6174
2012/6/12,-0.707,-0.6039,0.0022,0.0037,-1.1428,-0.3557,-0.8989
2012/6/13,1.5927,1.8425,0.0195,0.0009,1.1172,-0.7835,1.2409
2012/6/14,-0.7833,-0.6033,-0.0015,-0.0468,-0.9874,-1.4693,-0.5054
2012/6/15,0.2981,-0.1016,0.0067,0.0119,0.1195,1.1674,0.1057
2012/6/18,0.5124,0.9793,0.0255,-0.1057,0.8078,0.0277,-0.0113
2012/6/19,-0.8752,-0.7265,0.0232,0.0717,-1.0868,2.5155,0.07
2012/6/20,-0.2349,-0.5978,0.0127,-0.1222,-0.0149,1.4747,-0.5832
2012/6/21,-1.5837,-1.2446,0.018,0.2126,-2.3354,-0.3644,-2.749
2012/6/25,-2.2159,-2.7214,0.0292,0.1873,-3.7102,1.9283,-3.6103
2012/6/26,-0.0653,-0.09,0.009,-0.11,0.1611,0.2415,0.9638
2012/6/27,-0.3145,-0.3888,0.0112,0.3386,-1.0801,-0.4884,-1.1607
2012/6/28,-0.8772,-1.3975,0.0195,0.1152,-1.7408,-1.1351,-2.0359
2012/6/29,1.4793,1.2587,0.0172,-0.0457,1.6341,0.75,1.0222
2012/7/2,0.1473,1.1103,-0.0082,-0.0448,0.9707,-0.3259,0.6831
2012/7/3,0.1413,0.1788,0.0404,0.1344,-0.0515,0.8048,0.0786
2012/7/4,-0.154,-0.5128,0.0172,0.011,0.3219,1.6986,0.435
2012/7/5,-1.4016,-2.2742,0.015,0.0329,-2.3072,2.1688,-1.2833
2012/7/6,1.7382,1.9994,-0.0142,0.2665,1.7541,-0.441,1.2599
2012/7/9,-2.2882,-2.5166,0.0553,0.1238,-3.3319,3.2566,-2.993
2012/7/10,-0.3862,-0.975,0.0202,0.1945,-0.3687,-0.1992,-1.1775
2012/7/11,0.7839,1.1421,0.0172,-0.088,1.4118,-0.72,0.2311
2012/7/12,0.9733,1.3571,-0.0067,0.0263,2.5674,-1.5223,0.8871
2012/7/13,0.0593,-0.4411,0.0329,-0.4739,-1.0623,2.6801,0.1027
2012/7/16,-2.0771,-3.6097,0.0336,-0.2527,-2.8007,3.189,-1.1488
2012/7/17,0.603,0.7006,-0.0052,-0.0265,0.8999,-1.7191,2.6158
2012/7/18,0.0056,0.5567,-0.0157,0.3704,0.9802,1.2545,-0.523
2012/7/19,0.4137,1.1873,0.0284,-0.2078,0.4223,1.1219,0.4615
2012/7/20,-1.067,-0.6704,0.0015,0.0502,-1.1512,1.0466,-1.011
2012/7/23,-1.3769,-0.9513,0.0366,0.1734,-1.3501,-0.774,-1.4343
2012/7/24,0.4465,0.6961,-0.0127,-0.0301,0.3458,-4.1929,0.267
2012/7/25,-0.6696,-0.863,0.0224,-0.0401,-1.123,-1.4622,-0.4181
2012/7/26,-0.5337,-0.8928,0.0082,0.1185,-0.4947,1.3503,1.404
2012/7/27,0.069,-0.5676,-0.0022,-0.1102,0.3234,0.7869,0.8918
2012/7/30,-0.5668,-2.0143,0.0403,0.0574,-1.4872,2.8444,-2.2318
2012/7/31,-0.1229,-1.8107,0.003,-0.1057,-2.4641,1.7671,0.8516
2012/8/1,1.1029,1.804,0.0336,0.0119,1.8662,-1.1074,1.0791
2012/8/2,-1.0077,-0.6318,0.0119,0.1131,-1.3756,-0.0609,-1.7003
2012/8/3,0.8075,2.0024,0.0142,-0.1367,1.9181,-0.6456,0.7013
2012/8/6,1.3542,2.3747,-0.0224,-0.1222,3.062,-1.2866,2.3572
2012/8/7,0.1367,0.9285,0.0209,-0.1882,1.1213,1.3374,3.4342
2012/8/8,0.0386,-0.3494,-0.0015,0.0275,0.7316,-1.9957,-0.2678
2012/8/9,0.9166,1.4471,-0.0022,0.4492,0.7023,0.4829,0.284
2012/8/10,-0.4955,-0.2705,0.0492,0.1548,-0.6201,1.3712,-1.3198
2012/8/13,-1.9927,-2.2895,0.0216,-0.4647,-1.9497,-1.1103,-0.6423
